height_mm,rainfall_mm_per_h,speed_mm_per_min,time_to_recede_min
61.94,41.87,20.0,93.77
156.38,16.36,8.06,218.47
174.24,51.04,12.8,212.72
193.04,8.97,3.57,554.26
268.92,38.8,8.88,360.99
131.64,62.86,9.49,232.98
172.63,15.14,11.89,167.88
198.57,21.51,1.0,2017.99
214.96,31.49,10.66,248.81
209.78,22.45,5.4,422.08
243.6,6.74,11.3,225.74
284.38,31.03,5.85,532.28
239.26,14.07,6.58,384.83
245.36,37.1,8.91,331.17
41.78,16.21,5.79,96.46
205.02,53.25,8.1,333.05
247.95,18.25,5.23,501.79
272.89,25.17,2.67,1060.86
130.76,42.2,14.07,156.23
134.1,11.54,4.82,295.76
142.59,33.41,9.29,203.68
253.64,49.61,13.01,269.35
303.39,5.89,7.54,411.19
159.25,32.77,6.7,286.87
290.8,33.9,10.9,317.51
212.35,41.73,14.47,209.32
187.57,11.45,5.32,369.57
178.86,10.19,9.4,205.58
274.66,37.83,3.07,951.4
232.56,34.45,8.43,327.64
427.58,33.76,10.14,472.45
114.78,35.2,6.58,227.19
251.81,19.8,8.17,337.84
147.08,33.48,4.37,387.02
113.07,34.4,10.31,161.28
198.91,19.28,14.22,168.78
213.74,57.99,5.61,467.87
491.82,37.11,7.51,710.6
181.59,12.13,12.01,169.39
86.98,39.85,14.85,118.35
227.3,15.38,4.03,587.48
10.0,41.81,9.32,73.43
190.8,47.38,11.13,242.46
201.6,17.69,9.59,236.72
279.46,44.45,1.0,2861.28
297.36,36.19,12.0,302.0
149.64,42.33,16.08,156.57
184.94,58.45,10.47,264.37
123.39,26.32,5.88,249.48
87.19,18.69,7.95,137.75
230.99,16.66,17.08,160.23
72.64,17.76,13.64,79.9
158.54,28.84,12.56,169.49
100.48,35.12,11.43,140.62
254.97,34.15,7.36,397.86
380.14,42.41,9.2,476.91
69.84,30.2,9.69,117.38
14.7,51.8,12.2,89.75
187.51,26.03,16.04,155.98
201.57,70.8,14.47,245.47
221.87,39.39,4.32,572.36
155.37,17.14,10.9,168.31
179.94,13.94,12.95,159.88
236.75,37.24,12.48,245.63
304.04,26.65,7.48,446.28
10.0,40.71,20.0,66.07
163.11,37.1,4.89,389.08
221.38,28.91,5.67,433.99
108.2,17.3,10.93,124.9
373.12,7.28,18.47,212.96
136.46,23.3,6.66,239.99
195.87,42.85,8.94,283.44
255.6,33.21,14.31,228.45
140.87,11.31,9.93,158.86
15.34,32.6,8.66,66.61
157.13,35.78,12.26,181.81
302.94,16.74,11.09,298.28
166.31,32.31,14.12,166.23
115.36,30.87,15.17,122.37
292.57,12.86,11.23,279.85
166.92,35.37,11.17,202.53
148.98,38.41,10.86,194.85
214.95,46.25,11.96,249.14
277.08,45.81,10.22,339.8
438.17,9.33,10.0,452.28
282.72,15.93,14.79,215.1
315.98,37.73,16.06,253.29
149.4,37.71,3.97,432.91
97.41,37.73,10.04,153.61
206.23,87.79,7.25,416.33
210.72,38.56,8.76,298.5
92.15,47.03,11.61,149.92
182.47,44.31,12.68,210.39
239.93,39.77,9.55,310.85
236.04,25.27,2.35,1043.77
250.43,41.38,6.14,469.95
229.1,18.41,13.59,196.24
149.3,26.45,1.0,1532.66
148.61,22.72,14.75,134.83
80.1,31.23,12.08,113.13
378.48,64.72,15.26,345.02
201.35,1.99,9.21,221.7
177.51,40.29,1.75,1072.28
107.12,5.81,11.72,100.1
493.57,22.92,15.1,361.28
92.67,46.33,13.7,137.15
157.12,30.96,7.35,260.23
241.58,13.83,10.35,254.23
260.02,19.27,7.87,359.36
295.79,40.19,6.72,500.27
380.76,19.04,13.82,304.05
250.62,33.25,5.21,530.91
94.4,30.68,6.42,192.95
174.31,20.23,5.58,342.5
230.78,62.16,4.04,664.62
406.82,39.51,10.59,443.58
60.22,0.0,14.65,41.12
320.26,32.8,9.26,395.03
217.99,20.07,3.98,578.24
283.78,42.79,13.36,276.6
189.8,18.11,16.74,140.53
115.76,28.28,7.42,198.53
275.09,37.57,8.09,396.57
265.44,42.99,12.06,284.53
297.21,12.0,16.49,198.25
198.67,24.98,7.92,288.3
140.02,22.88,4.67,334.12
44.12,20.2,12.53,65.52
281.94,56.48,13.2,298.37
242.39,36.07,10.02,295.91
103.42,11.09,7.77,149.78
146.14,43.77,13.98,170.21
153.32,61.83,12.11,219.34
51.7,45.49,6.93,142.88
118.23,7.21,10.2,126.77
86.62,22.74,4.59,222.68
158.75,49.0,12.74,198.08
126.13,19.38,8.95,169.99
37.3,36.66,8.26,100.16
402.26,41.62,9.87,470.05
325.25,16.1,10.16,344.24
122.1,29.11,13.58,133.57
227.24,0.0,12.36,183.79
241.75,14.63,9.37,279.83
319.11,26.21,13.05,283.76
118.14,11.28,11.6,118.74
309.21,54.49,8.29,454.56
145.21,8.55,9.5,165.66
66.41,23.4,9.41,105.7
272.41,31.96,12.02,274.56
329.08,51.62,8.53,463.13
458.79,8.46,8.44,556.39
80.03,47.45,17.88,115.94
269.89,30.15,13.76,241.39
159.02,15.28,6.96,251.47
278.34,36.93,12.28,281.99
52.95,32.99,10.47,100.04
73.72,21.0,11.57,95.24
122.41,31.05,10.55,162.61
207.9,24.22,14.76,177.2
135.89,31.7,11.38,166.94
265.91,39.93,9.75,332.58
302.69,53.79,14.17,294.32
259.96,11.43,10.93,254.92
361.88,62.0,10.49,438.1
241.58,0.72,11.26,215.7
78.31,27.72,9.63,122.94
336.34,38.82,10.04,393.34
139.48,34.21,7.65,233.58
291.04,20.66,7.0,447.04
357.37,26.88,6.01,635.37
245.67,22.6,4.43,588.21
50.38,21.16,6.48,109.48
108.18,42.74,9.3,180.4
332.27,35.36,10.41,372.14
183.09,19.61,8.91,234.78
207.96,43.49,1.0,2144.81
275.88,34.61,16.3,221.18
269.63,42.19,14.35,251.24
227.88,39.44,11.78,252.56
179.13,17.57,17.63,127.95
168.73,21.6,6.09,309.44
285.79,41.21,17.55,224.65
255.36,39.16,6.14,474.68
174.27,29.69,10.95,203.61
308.21,31.76,4.9,676.05
187.1,49.16,10.06,259.75
114.83,21.13,11.54,131.16
124.1,38.21,9.38,189.6
102.13,26.97,12.86,119.89
172.76,26.73,10.4,206.28
323.37,46.48,7.91,478.52
119.49,42.38,7.73,218.1
218.85,42.2,13.24,228.55
134.33,49.58,7.39,256.27
173.97,30.32,13.66,172.81
49.0,40.23,14.89,93.25
177.95,25.35,3.33,573.17
180.63,34.86,14.53,176.59
254.03,28.05,18.24,181.33
222.33,31.45,11.01,249.15
80.16,38.93,12.4,123.06
308.42,17.73,14.15,244.59
221.03,61.39,8.9,340.48
219.84,14.91,10.73,227.26
199.08,11.79,4.74,437.4
148.22,47.37,10.55,211.49
221.78,41.87,11.99,247.75
247.56,39.36,12.06,264.24
25.31,39.43,14.26,76.88
146.12,29.82,6.9,256.47
174.51,16.54,7.87,246.56
225.62,31.14,17.58,175.03
319.33,19.84,9.4,369.53
122.83,44.63,10.8,180.67
150.2,27.79,9.73,196.03
148.75,17.62,6.71,248.0
119.85,25.18,16.49,110.43
165.28,36.19,7.89,263.79
277.08,21.54,5.49,536.94
94.62,17.67,8.2,141.93
242.78,33.66,1.99,1268.55
29.81,33.67,7.39,90.82
143.87,22.4,6.13,268.38
167.05,22.93,12.47,168.37
367.49,33.48,7.31,553.19
172.52,8.28,13.55,139.73
10.0,8.89,15.59,19.74
10.0,19.22,13.12,36.45
203.4,26.8,9.14,262.78
261.38,34.66,10.56,299.41
237.55,52.13,3.9,687.28
216.76,42.86,9.46,293.31
316.23,27.6,6.56,523.58
146.04,29.71,12.78,158.87
289.49,14.96,20.0,167.19
36.8,29.72,12.0,75.25
109.51,25.67,2.04,576.5
19.3,34.84,8.56,74.82
172.52,17.59,10.49,190.84
195.37,37.79,10.35,245.46
211.41,52.99,7.08,378.23
206.19,28.37,10.98,230.32
107.24,36.03,5.03,267.25
180.98,40.35,6.22,351.47
50.26,23.98,12.58,75.91
336.32,33.36,5.94,616.5
169.64,30.19,12.15,184.87
151.11,31.47,4.52,381.36
358.89,18.4,17.06,237.99
75.78,30.37,6.9,155.32
87.44,37.47,9.11,152.24
90.38,51.77,11.32,157.47
193.21,44.39,7.74,316.26
243.16,62.3,10.57,323.42
273.97,18.49,12.3,250.45
457.2,43.08,13.84,394.92
10.0,32.75,13.17,56.72
260.87,62.85,9.31,374.4
144.29,17.88,9.41,180.09
141.36,17.4,19.4,98.98
138.02,21.01,13.8,131.53
109.12,0.0,6.31,172.86
368.45,22.11,10.4,387.45
284.23,18.61,8.66,356.15
202.32,32.26,9.46,262.28
335.1,35.13,5.08,712.08
48.75,58.14,8.35,145.58
66.93,44.26,17.25,105.19
10.0,21.35,12.32,40.14
130.06,16.52,1.0,1325.37
216.17,37.38,14.87,201.47
210.29,10.2,14.36,161.75
214.93,57.47,8.56,337.22
58.89,47.69,12.87,117.3
280.32,22.96,6.56,461.6
223.96,4.3,8.12,282.31
273.31,50.31,15.99,246.34
10.72,28.28,8.91,54.45
231.15,48.57,2.52,989.72
81.22,6.08,9.75,92.46
160.27,21.01,9.69,196.98
253.44,30.08,14.79,216.43
209.11,30.7,10.06,253.97
114.85,23.25,8.31,173.01
200.63,39.34,14.18,200.5
46.85,13.99,10.48,65.67
315.03,27.86,7.0,491.84
179.47,31.8,14.62,170.46
311.85,37.72,10.77,346.01
147.35,40.67,10.01,208.19
147.64,13.13,10.71,157.53
123.58,6.99,5.72,226.63
287.62,49.17,7.89,438.31
129.06,34.98,10.01,181.35
264.46,18.77,9.22,314.95
161.75,53.27,15.09,187.1
10.0,31.74,10.87,56.8
142.97,47.69,13.42,178.07
82.09,31.01,10.04,128.3
203.39,60.91,14.23,234.35
80.96,56.33,11.59,154.35
292.6,26.27,10.05,330.43
190.89,44.57,9.95,258.77
182.24,39.68,6.18,354.3
265.59,50.53,12.03,296.61
296.39,15.53,9.84,324.52
197.99,40.29,7.99,308.17
122.88,45.88,14.43,153.99
22.6,3.62,5.0,50.64
131.4,12.25,8.31,176.49
138.28,0.0,14.11,97.99
210.71,25.96,11.26,226.03
165.49,40.76,9.81,229.86
268.79,52.54,11.0,323.07
138.7,31.11,10.72,176.08
194.3,54.43,3.93,575.61
318.4,9.3,8.6,384.05
234.18,4.45,16.47,148.9
194.0,29.17,7.36,307.24
139.81,35.76,8.73,213.84
136.68,29.51,7.83,218.74
114.94,0.0,9.65,119.08
145.9,28.66,7.67,233.28
275.57,10.43,11.95,246.31
177.81,40.05,10.79,224.87
65.02,35.5,13.09,102.91
376.82,15.9,5.8,673.96
232.0,22.29,8.64,301.99
59.31,14.11,9.1,86.36
155.82,29.06,11.82,175.38
211.09,44.33,6.83,375.68
370.46,15.21,13.66,293.97
89.19,37.56,14.75,116.83
297.6,22.05,6.04,525.42
339.95,18.11,8.04,450.17
137.13,28.39,7.87,216.79
172.25,14.47,20.0,107.83
96.37,21.7,8.28,148.93
179.65,12.03,16.71,125.56
196.34,59.47,4.93,487.18
265.96,30.53,6.04,486.03
309.02,19.5,7.25,455.28
125.19,33.21,6.62,239.0
10.0,28.32,8.93,53.67
197.88,26.69,7.16,316.2
229.35,39.21,6.72,399.99
224.94,41.36,14.63,215.76
167.33,22.04,14.9,145.4
212.48,21.36,13.8,186.04
351.54,25.87,12.1,329.44
238.17,0.0,10.37,229.65
162.66,7.27,8.01,213.94
149.98,50.5,6.19,318.15
183.01,54.67,11.45,241.82
363.67,26.26,5.31,724.87
181.67,38.65,6.02,359.53
198.02,34.67,14.61,187.53
151.77,76.18,17.6,200.49
309.9,46.79,11.57,337.96
395.98,28.08,14.43,316.62
245.06,15.67,9.02,295.29
208.28,5.9,4.65,456.83
203.68,33.05,12.45,213.19
10.0,18.65,12.28,36.13
274.52,8.67,10.29,279.86
213.42,20.3,9.03,266.78
242.83,13.78,13.85,196.01
128.85,55.31,6.06,295.69
161.55,43.22,6.9,298.81
158.9,29.88,5.97,311.09
302.16,52.2,10.34,370.53
162.12,31.16,5.65,333.77
408.27,17.08,7.26,587.74
243.09,52.85,7.18,417.97
72.43,38.08,8.96,137.99
187.15,14.44,4.05,483.69
134.83,27.14,10.35,171.01
10.0,16.87,14.99,31.97
359.95,9.26,10.54,355.33
270.31,43.89,16.17,233.06
253.32,58.64,15.34,253.14
216.54,9.02,13.11,178.69
61.8,38.44,10.3,117.67
151.64,20.24,10.09,180.65
284.18,22.69,13.06,251.71
94.88,21.11,8.43,144.17
10.0,17.04,2.47,66.05
177.29,30.73,11.97,194.23
185.82,17.54,5.48,365.66
213.56,34.06,6.15,398.25
272.85,29.25,10.0,316.7
263.76,26.42,9.62,313.82
225.88,16.39,4.35,543.63
319.55,21.35,10.66,331.74
48.1,41.33,13.86,96.69
250.46,37.51,5.49,512.76
262.65,15.34,15.09,197.06
76.04,31.49,3.76,249.52
49.71,41.27,18.47,88.82
125.41,4.96,8.35,157.54
133.85,38.15,10.58,183.7
275.34,20.06,2.43,1162.32
138.55,38.56,9.75,199.92
114.37,18.55,10.91,132.61
138.84,2.93,9.66,148.18
311.86,5.59,7.75,410.91
201.3,30.72,6.21,370.05
182.07,33.9,14.52,176.22
189.0,16.44,10.12,211.35
329.21,39.58,16.16,263.05
125.08,5.08,7.89,166.07
331.55,29.01,8.26,444.87
221.05,11.83,13.26,184.43
183.96,20.22,3.51,554.71
450.09,30.71,5.15,920.68
94.44,17.09,14.39,91.27
164.63,24.23,5.31,346.26
76.76,45.09,2.72,349.44
295.25,21.35,17.47,200.98
368.92,42.54,4.42,897.57
366.99,13.05,10.74,361.4
322.39,37.95,10.28,370.65
180.24,51.62,1.0,1879.81
163.48,0.0,8.93,183.05
32.88,18.05,11.79,54.95
403.59,38.66,11.42,411.47
246.9,26.95,13.61,221.79
150.8,35.57,8.45,231.82
332.81,20.94,12.85,290.4
102.72,31.3,7.24,188.78
240.66,27.66,4.36,593.71
182.74,47.52,4.81,451.26
263.87,33.82,4.15,686.31
193.64,35.06,14.04,190.53
54.91,23.82,3.94,175.03
207.56,22.69,11.1,221.08
304.89,23.51,8.94,376.44
197.08,35.92,9.59,259.39
277.51,23.69,15.45,215.1
95.45,34.35,8.25,167.27
197.37,61.13,12.45,250.28
137.55,43.07,10.15,200.11
274.7,25.11,9.39,330.15
203.15,48.02,19.2,177.83
269.01,23.88,4.23,671.07
308.77,0.0,15.16,203.72
269.16,14.88,12.63,235.5
227.31,1.94,8.08,284.17
100.18,24.73,16.52,97.74
199.72,30.28,2.61,811.35
146.69,55.15,7.91,268.1
165.59,34.9,5.17,372.9
162.55,26.71,11.65,179.62
102.01,42.44,5.55,247.53
10.0,0.0,11.73,8.52
133.19,33.53,9.25,194.22
219.34,41.56,8.08,333.72
65.18,7.82,11.55,68.14
201.57,47.16,8.93,296.57
390.03,35.08,5.65,743.48
302.31,23.77,20.0,186.81
364.35,39.49,8.05,511.78
239.11,64.06,1.13,2212.95
316.75,32.73,6.63,526.73
127.6,33.72,4.93,309.37
135.57,23.11,13.3,136.56
10.0,17.25,11.29,34.74
318.61,42.46,11.59,338.47
354.03,17.16,8.52,441.27
144.68,31.07,8.88,209.49
174.6,22.84,8.52,239.28
124.61,37.18,9.68,184.57
238.27,35.0,13.34,231.1
312.49,45.56,11.34,343.81
25.72,22.35,12.0,54.96
240.94,25.95,12.0,239.74
172.33,15.32,13.54,150.28
211.34,23.34,11.15,224.5
245.9,35.66,11.44,268.52
181.18,41.35,14.76,184.82
189.64,16.17,7.34,282.62
178.61,43.04,6.58,336.14
297.03,50.33,5.26,640.6
241.88,36.2,10.73,279.69
222.06,58.15,2.59,946.23
72.9,18.39,11.85,89.12
162.14,11.33,9.56,186.54
289.87,3.32,14.54,204.36
203.77,52.44,7.31,357.33
265.95,39.82,9.19,349.22
376.65,29.17,14.49,303.71
303.86,34.2,15.53,246.93
209.32,13.12,7.28,307.22
148.9,66.69,10.73,238.84
10.0,31.94,11.18,56.85
183.16,31.64,11.49,206.81
167.4,40.89,8.95,248.37
239.04,37.22,15.13,213.86
184.61,33.36,2.44,806.27
167.96,18.14,8.32,229.2
22.06,37.07,11.79,74.32
106.0,58.23,11.83,176.96
247.67,50.18,15.41,235.98
371.59,53.9,14.79,332.04
190.25,22.33,8.86,248.28
232.78,15.16,15.2,175.88
295.25,28.11,7.14,455.46
118.91,30.84,13.72,132.9
236.68,46.41,17.24,206.89
125.95,4.61,14.86,91.68
286.48,52.94,10.42,354.27
215.14,27.63,8.67,289.51
229.85,23.6,3.89,626.92
121.74,14.82,11.24,130.52
270.7,5.18,5.54,496.48
408.47,42.35,6.83,661.8
99.21,31.1,5.24,236.09
166.02,10.65,8.16,219.48
223.16,10.57,9.89,241.55
278.64,24.96,11.09,288.6
144.05,55.04,7.6,272.14
10.0,26.11,14.28,46.16
335.92,7.45,9.17,377.62
276.05,26.31,6.85,442.52
25.71,25.91,10.91,62.44
139.24,0.0,17.85,77.99
356.82,29.19,11.34,358.42
344.78,26.54,8.55,443.12
293.86,40.44,3.89,816.07
182.39,57.73,9.12,286.54
208.3,46.9,10.94,260.75
186.91,25.97,8.45,260.15
312.82,13.4,3.34,957.13
112.42,68.6,6.6,273.29
119.42,30.89,15.82,121.83
301.03,30.21,15.74,236.61
195.56,29.64,6.45,347.5
337.85,32.97,12.69,315.67
132.85,27.83,5.29,293.09
194.52,21.4,15.62,156.65
107.76,21.8,10.98,130.83
200.74,29.51,13.8,189.74
52.15,21.85,3.14,198.86
151.24,19.31,12.71,147.95
56.37,31.6,9.97,103.94
269.39,26.18,13.41,240.19
271.66,52.56,13.66,277.72
26.97,0.0,10.26,26.28
333.39,46.37,7.6,508.42
449.74,48.69,13.12,415.86
204.6,0.0,9.76,209.65
135.89,24.86,6.51,246.06
482.43,24.43,6.32,800.06
68.1,8.89,4.09,179.79
202.01,18.33,7.96,281.32
217.96,13.34,14.41,171.26
334.51,56.28,10.71,396.73
235.97,44.04,7.88,365.48
150.14,49.07,13.22,187.18
104.88,40.83,6.67,218.48
165.82,13.06,10.38,179.32
99.31,22.13,9.28,140.19
204.78,37.34,13.12,212.14
143.58,11.67,3.69,406.49
50.6,40.69,6.6,137.71
325.51,26.4,3.45,983.93
150.23,24.38,8.96,204.21
73.19,40.66,14.85,110.29
183.17,36.66,7.98,284.59
206.84,24.59,7.96,296.81
25.35,47.39,13.49,89.88
233.16,13.78,14.27,184.02
95.28,39.24,9.65,157.64
371.1,38.9,12.74,349.66
252.4,25.36,5.69,481.44
160.01,34.89,15.51,155.49
125.48,11.23,18.59,84.33
189.5,43.86,12.08,222.6
261.28,27.23,1.66,1612.28
197.45,22.16,7.77,287.45
178.28,45.74,12.45,211.79
205.84,19.43,8.31,276.73
139.61,8.87,15.09,105.84
165.68,6.65,12.35,144.1
10.0,39.09,7.17,72.57
297.37,10.79,10.13,309.77
229.88,56.32,6.42,442.29
122.65,0.0,9.27,132.32
389.87,55.45,7.78,584.19
208.7,33.17,14.7,191.73
96.39,28.55,18.46,95.03
285.67,21.83,4.28,700.94
239.8,35.99,2.31,1093.39
239.46,29.44,9.02,309.65
157.42,46.55,3.93,470.77
245.05,31.71,10.18,288.17
173.82,32.25,13.0,182.14
255.59,24.55,15.98,196.8
10.0,29.15,10.81,52.97
156.61,34.62,9.23,221.65
372.22,4.35,2.09,1790.48
123.29,9.78,10.1,136.68
139.62,41.15,10.29,197.47
155.2,32.56,12.56,172.46
78.52,27.24,7.17,150.43
10.0,30.28,8.26,57.52
176.94,35.21,4.09,485.65
213.59,21.9,1.0,2168.71
194.75,18.33,5.57,377.38
185.51,32.94,3.72,548.27
204.3,15.32,11.35,203.04
302.28,36.12,7.93,435.5
180.96,4.46,7.85,237.29
142.59,45.44,6.06,303.36
171.89,37.09,1.0,1774.51
257.93,33.84,16.03,211.64
341.2,44.74,6.0,635.88
137.19,54.98,8.35,246.76
209.89,45.22,4.18,569.91
233.84,2.39,13.89,171.96
100.74,10.81,10.57,111.49
202.04,20.63,6.69,332.74
53.43,30.39,8.43,108.96
23.09,37.76,16.71,70.47
236.67,19.11,9.71,272.46
161.61,32.8,9.27,223.48
220.23,18.67,6.23,381.25
198.21,20.83,2.42,849.73
102.36,8.9,9.36,122.71
195.47,16.15,11.3,197.18
76.69,9.72,14.4,67.85
339.1,15.36,1.01,3393.74
64.4,45.8,5.5,185.81
180.42,15.76,7.68,258.65
95.77,69.49,9.99,200.13
257.04,37.4,9.42,328.97
166.86,32.77,9.51,224.55
148.13,17.12,11.63,153.03
285.32,40.5,6.39,507.49
202.94,21.37,13.74,179.79
251.66,31.83,11.73,262.22
101.87,68.4,8.72,219.41
59.52,28.56,16.4,79.12
210.72,47.24,16.23,200.73
168.12,19.45,13.73,151.61
262.64,29.48,1.0,2670.65
192.01,56.56,16.32,202.53
220.51,20.6,13.18,198.21
37.66,57.19,18.03,106.67
388.84,40.62,14.95,321.02
183.58,21.56,16.31,144.88
269.76,39.49,13.51,258.83
116.39,44.59,15.39,142.49
230.8,39.33,17.98,187.38
69.72,6.45,10.87,73.83
245.21,19.09,3.71,689.38
164.4,26.29,8.77,226.89
202.92,28.88,11.56,218.86
269.8,39.31,10.3,320.92
76.75,32.67,5.01,202.07
131.55,9.97,3.48,393.44
245.73,35.7,7.04,402.84
409.82,39.16,13.23,368.48
186.19,38.4,16.32,171.67
259.11,46.21,13.67,258.92
189.3,42.51,14.23,196.8
394.22,36.89,9.68,462.73
25.28,28.95,3.03,126.8
209.46,5.09,8.18,263.72
37.45,36.44,8.96,96.44
10.0,33.12,8.01,62.15
229.75,34.07,10.22,275.94
213.95,10.85,11.77,198.12
171.52,13.78,13.41,148.56
189.38,45.8,8.89,281.78
500.0,29.41,2.38,2140.58
174.18,40.22,8.07,276.21
251.01,30.42,10.17,292.34
135.06,30.45,14.89,136.37
229.52,44.07,7.73,363.08
176.18,22.26,12.05,179.59
158.95,31.44,11.16,189.58
381.89,23.07,10.18,409.9
317.72,23.48,13.72,266.76
213.67,25.36,7.36,328.5
10.0,33.33,7.7,62.99
163.9,22.82,9.95,198.91
470.3,48.84,7.44,705.43
176.93,16.58,12.03,171.92
310.32,27.2,7.15,474.98
344.19,23.4,10.91,350.73
221.9,51.7,9.6,308.72
115.82,32.95,10.86,156.07
10.0,45.48,8.16,80.47
268.42,7.72,8.64,322.11
118.52,34.01,10.38,165.15
217.62,43.34,10.81,266.36
75.02,31.23,9.98,122.0
173.48,45.98,16.82,172.1
203.37,22.24,6.04,370.23
226.86,51.14,9.74,309.55
88.52,64.48,3.71,335.61
319.69,24.56,11.49,315.11
140.31,23.32,5.54,288.29
32.55,51.8,8.89,114.33
189.1,53.69,8.51,302.7
203.44,22.16,11.12,216.12
216.06,23.7,7.79,312.94
336.21,25.77,7.62,479.96
176.36,9.83,15.74,126.77
188.04,16.22,11.14,193.15
89.68,14.94,7.76,138.04
282.06,18.48,9.0,341.24
218.43,29.48,16.58,175.95
158.0,33.51,9.06,224.67
10.0,53.26,7.24,93.69
344.44,15.02,7.26,496.97
77.23,44.76,7.8,166.12
140.87,26.79,7.62,225.01
235.83,29.26,4.88,527.01
80.34,40.12,5.5,206.18
50.65,13.16,6.68,95.53
10.0,35.74,12.37,61.69
272.1,32.5,8.48,369.8
145.48,37.39,9.17,214.71
492.73,34.34,15.08,378.24
100.56,66.83,15.18,166.49
107.85,20.43,8.87,152.23
143.46,22.04,7.48,224.93
224.31,20.65,6.54,373.85
152.98,21.67,12.77,152.29
261.23,20.44,9.18,315.19
102.14,47.84,8.45,192.57
61.84,51.31,6.75,168.64
20.18,21.44,6.92,61.31
10.0,17.51,11.28,35.14
148.19,37.07,4.74,368.37
169.9,21.72,13.98,154.11
136.86,39.49,7.86,233.26
324.34,33.04,9.4,394.56
322.8,7.26,4.65,704.78
166.52,53.21,9.95,247.17
20.61,56.94,8.69,109.13
143.33,20.81,9.8,177.47
140.02,24.18,15.89,124.41
134.29,34.29,10.71,176.81
130.23,35.02,6.82,243.44
134.65,39.88,7.15,248.02
