height_mm,rainfall_mm_per_h,speed_mm_per_min,time_to_recede_min
417.92,33.24,-2.59,-1.0
301.05,20.97,-0.13,-1.0
330.76,35.05,-0.89,-1.0
297.01,20.54,1.78,166.97
178.1,25.23,-2.08,-1.0
388.98,0.37,-2.07,-1.0
212.31,34.59,-1.49,-1.0
109.73,33.07,1.81,60.66
358.19,1.92,-4.01,-1.0
170.84,18.41,0.81,210.65
476.18,48.95,-3.71,-1.0
481.57,21.04,-3.92,-1.0
465.95,25.1,-4.83,-1.0
248.06,45.5,-1.18,-1.0
106.18,35.86,2.56,41.4
471.33,29.1,-2.75,-1.0
271.27,39.89,0.23,1185.72
486.66,43.22,-0.37,-1.0
485.45,22.84,-2.46,-1.0
441.2,23.76,-3.25,-1.0
217.78,19.3,0.52,416.34
254.04,48.34,-1.36,-1.0
440.45,34.86,-3.16,-1.0
226.77,4.16,-2.55,-1.0
167.8,43.15,1.71,98.05
322.72,24.03,-1.81,-1.0
474.46,3.44,-2.47,-1.0
378.41,27.49,-3.34,-1.0
328.02,20.86,-0.63,-1.0
138.87,43.89,-0.53,-1.0
346.0,10.2,-1.67,-1.0
496.02,41.32,-1.64,-1.0
156.03,27.88,1.63,95.97
307.33,2.73,-1.11,-1.0
450.95,48.59,-5.0,-1.0
396.31,25.63,2.53,156.88
378.81,14.54,0.83,455.99
380.99,23.47,-0.73,-1.0
243.8,42.89,-1.57,-1.0
217.44,15.25,-0.34,-1.0
423.74,9.63,-3.05,-1.0
424.05,6.45,-0.34,-1.0
446.83,14.89,-2.07,-1.0
465.3,39.0,-3.83,-1.0
304.54,23.58,-1.75,-1.0
300.61,11.37,0.68,444.87
419.32,8.31,0.21,2026.02
359.99,16.64,0.69,519.73
380.79,47.0,-0.67,-1.0
418.32,17.15,-2.56,-1.0
456.0,49.41,-5.0,-1.0
235.2,24.26,0.09,2508.53
250.23,8.96,-0.51,-1.0
137.59,44.56,0.83,164.97
331.31,23.02,-1.23,-1.0
114.38,35.48,-1.13,-1.0
286.24,49.19,-0.03,-1.0
317.06,2.51,-0.22,-1.0
214.62,4.83,0.88,244.62
336.33,36.02,0.06,5949.38
112.2,14.09,1.78,62.89
114.94,9.22,0.24,487.93
429.04,1.97,-2.4,-1.0
244.08,1.09,-0.3,-1.0
150.82,38.72,0.65,230.86
308.9,6.72,0.41,756.45
408.0,23.39,-1.11,-1.0
186.33,30.29,3.25,57.28
349.16,21.42,1.82,192.04
134.14,1.36,0.78,172.4
120.67,39.18,-4.96,-1.0
312.54,0.53,0.73,428.24
316.25,38.09,-1.97,-1.0
354.97,44.67,-2.75,-1.0
390.44,21.64,-2.5,-1.0
490.34,26.78,-3.57,-1.0
306.52,23.85,-0.15,-1.0
229.18,19.46,-2.63,-1.0
418.07,44.37,-3.8,-1.0
208.33,44.7,0.43,482.91
275.59,16.79,0.18,1543.65
131.38,30.75,1.65,79.7
110.14,46.35,-0.28,-1.0
485.06,48.1,-4.32,-1.0
434.39,25.45,-3.1,-1.0
378.39,22.64,-1.42,-1.0
263.58,13.93,1.59,165.52
169.32,47.94,-2.76,-1.0
162.57,7.14,0.04,3766.91
200.1,28.99,-2.0,-1.0
319.69,14.13,-3.68,-1.0
385.84,13.95,-0.41,-1.0
364.08,20.25,-0.82,-1.0
211.97,49.94,0.55,382.34
481.95,2.75,-1.44,-1.0
395.16,28.93,-2.67,-1.0
321.74,4.13,-1.87,-1.0
344.69,7.73,1.83,188.18
267.84,21.98,-1.05,-1.0
199.09,25.52,1.11,179.08
242.39,12.94,-0.41,-1.0
403.14,15.82,-4.8,-1.0
105.76,4.35,-2.12,-1.0
146.43,15.16,-0.33,-1.0
118.4,48.33,2.4,49.33
116.29,47.24,2.02,57.58
442.18,16.74,-1.05,-1.0
381.46,28.54,-3.3,-1.0
289.67,45.48,1.53,189.68
139.13,0.31,-0.84,-1.0
296.65,40.53,-0.65,-1.0
289.39,47.42,-0.91,-1.0
169.28,4.57,0.05,3649.72
273.54,8.07,1.27,214.97
259.4,48.04,-1.65,-1.0
346.34,26.88,-3.49,-1.0
354.04,0.71,-1.51,-1.0
118.12,12.88,0.22,539.26
249.85,22.5,4.57,54.7
350.34,34.65,-0.49,-1.0
301.25,36.66,-1.63,-1.0
442.6,49.77,-4.01,-1.0
363.48,14.38,-4.46,-1.0
165.17,26.91,-1.19,-1.0
128.23,26.67,0.89,144.05
356.97,20.28,0.57,624.82
110.6,8.46,2.58,42.93
334.31,48.87,-1.0,-1.0
476.09,42.67,-3.25,-1.0
330.19,24.92,-0.9,-1.0
255.27,30.16,-1.33,-1.0
357.32,11.36,1.0,355.75
283.3,27.19,-1.12,-1.0
318.25,34.75,-1.31,-1.0
476.59,25.76,-5.0,-1.0
254.44,49.51,-0.84,-1.0
484.48,30.57,-1.59,-1.0
462.14,18.55,-4.22,-1.0
178.32,38.61,-0.91,-1.0
127.74,8.52,1.91,66.83
140.31,19.23,-1.62,-1.0
107.29,17.35,2.51,42.68
137.78,21.59,-0.18,-1.0
373.2,39.09,-2.31,-1.0
128.48,24.21,-0.97,-1.0
227.59,39.7,0.29,781.65
437.95,28.82,1.31,334.23
109.31,17.1,2.08,52.57
425.79,40.5,-3.55,-1.0
212.74,11.91,1.58,134.99
147.27,11.22,0.05,2814.64
378.69,25.23,0.27,1378.18
351.58,13.04,-0.31,-1.0
450.99,0.45,-5.0,-1.0
394.03,32.41,-3.45,-1.0
421.39,25.55,-0.8,-1.0
212.81,22.28,0.1,2142.11
170.98,48.35,-1.25,-1.0
400.25,28.56,-2.95,-1.0
422.73,43.17,-5.0,-1.0
496.2,6.97,-3.09,-1.0
265.05,28.46,2.67,99.43
248.81,43.4,0.72,345.89
410.57,29.16,1.18,347.94
236.32,35.9,0.96,246.07
472.3,18.6,-1.18,-1.0
443.37,4.62,0.53,840.56
271.6,22.9,-0.15,-1.0
400.35,19.72,-2.28,-1.0
401.82,43.35,-0.47,-1.0
141.25,12.2,2.77,51.02
461.02,48.34,-3.33,-1.0
302.1,47.91,-2.1,-1.0
430.58,12.38,-2.1,-1.0
228.02,17.4,0.97,235.79
458.21,44.78,-1.38,-1.0
255.68,48.33,-2.69,-1.0
104.34,22.17,3.82,27.28
462.15,16.05,-3.58,-1.0
136.51,26.3,0.24,575.39
227.73,34.39,-1.63,-1.0
480.02,13.67,1.25,384.87
480.24,36.82,-2.44,-1.0
329.38,2.58,-2.57,-1.0
352.73,2.46,-0.23,-1.0
279.38,19.31,0.36,776.22
217.28,17.67,-0.45,-1.0
231.47,15.78,0.95,244.61
369.01,24.55,-2.93,-1.0
400.95,16.04,-2.75,-1.0
416.63,9.61,-5.0,-1.0
415.85,15.47,-4.14,-1.0
136.48,48.75,3.35,40.78
297.77,20.56,1.48,200.59
123.02,22.24,0.87,141.66
319.81,28.83,1.3,246.71
276.61,49.17,-1.01,-1.0
455.08,12.08,-2.92,-1.0
240.37,34.06,-0.32,-1.0
146.83,35.8,0.34,426.39
157.2,30.37,0.11,1493.71
404.6,4.43,-0.33,-1.0
347.29,33.84,-1.25,-1.0
140.45,3.2,1.66,84.39
133.64,29.81,2.21,60.45
380.39,36.98,-1.22,-1.0
129.11,10.55,-0.75,-1.0
428.74,42.08,-4.32,-1.0
382.5,1.52,-1.6,-1.0
132.54,42.19,0.42,317.29
133.94,23.02,0.79,169.17
494.66,10.88,-2.97,-1.0
249.71,6.69,3.38,73.92
248.26,47.67,-2.48,-1.0
425.12,3.63,-5.0,-1.0
478.9,9.95,-2.29,-1.0
494.4,17.39,-3.51,-1.0
401.35,31.01,-1.54,-1.0
250.5,27.24,0.37,675.6
133.4,6.28,2.59,51.46
410.86,14.49,-4.37,-1.0
323.36,11.94,-2.07,-1.0
269.69,10.68,-0.05,-1.0
462.54,20.56,-1.47,-1.0
144.48,35.2,3.85,37.57
297.05,10.87,0.46,641.5
104.54,18.33,0.87,120.25
287.46,19.55,-2.21,-1.0
122.52,48.82,-0.07,-1.0
147.53,47.73,-0.36,-1.0
147.01,40.01,1.51,97.18
359.68,12.08,-1.21,-1.0
398.42,3.4,-3.97,-1.0
333.35,15.85,-1.99,-1.0
484.87,13.34,-1.53,-1.0
249.95,25.3,0.03,8923.15
214.28,38.89,0.71,301.76
447.44,42.92,-1.9,-1.0
189.44,42.24,2.55,74.43
485.29,17.98,-2.5,-1.0
104.86,34.36,0.37,281.62
487.95,15.64,-4.25,-1.0
117.26,3.05,1.2,97.58
456.46,35.08,-5.0,-1.0
311.08,0.49,-1.39,-1.0
497.19,20.46,-3.28,-1.0
129.52,16.47,-1.34,-1.0
321.54,34.67,-2.61,-1.0
487.72,38.31,-1.66,-1.0
309.24,15.2,-0.75,-1.0
351.76,40.58,-1.36,-1.0
378.3,14.7,-1.32,-1.0
281.82,22.32,-0.68,-1.0
351.02,36.35,0.35,991.42
333.73,34.65,-1.15,-1.0
460.46,49.37,-4.79,-1.0
118.18,11.26,3.26,36.21
212.39,33.12,0.43,492.02
480.16,30.48,-3.69,-1.0
456.11,45.75,-4.44,-1.0
282.26,7.82,-0.23,-1.0
348.05,37.59,-1.66,-1.0
210.95,28.41,2.25,93.69
175.25,13.73,-0.27,-1.0
285.48,23.72,-2.11,-1.0
241.34,16.69,0.93,259.43
333.46,28.97,0.05,6256.52
131.09,44.45,0.94,139.16
489.76,28.47,-1.88,-1.0
494.48,31.59,-3.0,-1.0
379.26,25.94,-1.44,-1.0
314.44,2.56,0.6,521.37
223.81,11.64,0.7,319.79
425.52,24.6,-2.51,-1.0
373.89,15.51,0.29,1290.98
165.05,9.09,-3.2,-1.0
464.37,25.21,0.43,1068.99
429.01,16.14,-4.85,-1.0
479.92,12.91,-3.74,-1.0
390.29,23.2,-1.96,-1.0
345.37,6.66,-1.67,-1.0
267.3,46.39,0.84,319.49
473.09,43.39,-4.32,-1.0
446.43,35.38,-2.07,-1.0
118.09,5.31,-0.05,-1.0
110.55,38.79,1.34,82.67
250.59,40.4,-0.6,-1.0
424.22,38.39,-2.1,-1.0
494.91,5.7,-3.77,-1.0
160.17,32.2,-0.37,-1.0
337.65,41.72,-0.95,-1.0
252.36,28.87,0.89,282.91
487.97,32.32,-3.78,-1.0
436.85,22.92,-3.67,-1.0
435.33,26.44,-1.43,-1.0
287.48,1.72,-0.92,-1.0
265.93,31.95,0.59,453.44
209.36,4.07,-1.45,-1.0
122.55,21.75,-1.89,-1.0
445.89,14.63,-3.26,-1.0
425.16,27.27,-3.4,-1.0
499.89,6.67,-3.12,-1.0
498.65,34.58,-3.94,-1.0
322.17,39.75,-0.11,-1.0
407.59,8.17,-2.51,-1.0
477.91,5.22,-2.55,-1.0
439.86,7.28,-2.16,-1.0
198.94,43.86,0.3,656.48
280.22,26.41,-0.84,-1.0
151.66,23.36,1.25,121.4
481.62,5.34,-4.01,-1.0
342.47,32.48,0.67,507.79
191.46,43.4,-0.27,-1.0
368.68,41.41,-3.65,-1.0
347.25,31.3,-1.19,-1.0
243.27,3.76,-1.71,-1.0
145.42,5.62,1.54,94.2
368.63,2.47,1.63,226.41
308.12,12.87,-2.26,-1.0
408.93,6.78,-1.59,-1.0
308.07,13.0,-3.71,-1.0
440.87,19.25,-1.73,-1.0
320.76,47.15,-2.54,-1.0
324.38,30.52,-2.18,-1.0
450.66,41.75,-4.16,-1.0
261.39,35.52,0.48,539.74
153.61,5.63,1.97,77.78
111.51,36.8,0.92,121.22
402.05,13.75,-3.32,-1.0
348.12,31.96,0.9,385.5
381.63,17.05,-2.94,-1.0
185.19,49.88,-3.09,-1.0
154.55,13.18,1.14,135.32
105.82,13.96,-0.72,-1.0
240.24,46.53,1.08,222.32
335.97,1.23,-1.93,-1.0
256.9,34.83,0.34,763.23
274.99,36.27,1.35,203.34
461.66,41.82,-4.43,-1.0
239.3,48.72,-1.24,-1.0
305.6,48.78,-1.17,-1.0
413.46,3.26,0.17,2407.83
258.62,41.09,-1.57,-1.0
348.83,32.32,-2.38,-1.0
444.95,32.37,-1.73,-1.0
479.81,6.42,-3.66,-1.0
158.83,32.51,0.64,247.98
470.64,49.12,-5.0,-1.0
296.85,45.59,2.35,126.16
203.3,21.96,-2.05,-1.0
283.65,2.0,-1.32,-1.0
492.01,18.11,-2.97,-1.0
297.05,41.32,1.9,156.46
231.5,35.07,-2.3,-1.0
353.36,22.97,1.44,245.06
196.06,2.76,1.18,166.83
130.35,21.34,1.32,98.58
151.55,23.45,-0.99,-1.0
151.22,46.43,1.34,112.47
160.76,32.05,-0.69,-1.0
155.53,15.58,2.34,66.33
356.35,26.27,-3.02,-1.0
172.75,3.3,0.1,1681.42
238.27,48.63,-1.22,-1.0
458.72,18.0,-4.07,-1.0
289.58,23.89,0.22,1339.84
367.02,17.76,-0.87,-1.0
168.93,34.13,2.12,79.52
176.92,33.11,-2.44,-1.0
116.35,35.77,2.43,47.82
167.57,13.41,4.08,41.05
211.44,15.78,-0.79,-1.0
170.8,6.26,3.13,54.49
135.48,32.78,0.25,540.95
148.25,1.99,-1.54,-1.0
284.31,29.88,-1.3,-1.0
182.53,43.48,1.75,104.49
245.71,44.54,-1.71,-1.0
301.37,22.45,-1.91,-1.0
376.16,22.97,-0.87,-1.0
115.72,3.85,0.85,136.57
419.76,33.54,-1.32,-1.0
351.16,41.06,-1.15,-1.0
132.7,12.23,1.39,95.31
449.43,21.07,-3.14,-1.0
468.35,41.94,-2.34,-1.0
124.43,43.86,-0.64,-1.0
210.75,12.16,1.83,115.47
422.48,27.53,-3.18,-1.0
399.3,9.62,-0.3,-1.0
173.81,5.09,-0.09,-1.0
183.74,45.56,0.47,394.63
248.19,41.03,-1.22,-1.0
293.81,38.0,-2.46,-1.0
347.3,2.44,-4.09,-1.0
247.57,42.19,-2.06,-1.0
285.01,21.9,-1.34,-1.0
398.99,17.12,-1.67,-1.0
114.67,27.32,2.37,48.41
200.97,4.57,-0.68,-1.0
385.34,37.83,-3.18,-1.0
458.08,29.12,-4.74,-1.0
304.67,9.33,-0.33,-1.0
312.85,9.41,0.95,330.59
142.87,9.21,2.47,57.82
278.96,2.85,0.28,1013.5
313.05,29.39,-0.17,-1.0
196.99,42.02,2.58,76.45
207.7,0.87,0.42,493.17
250.91,2.45,0.46,545.4
108.03,28.64,0.44,246.34
228.83,40.97,-2.33,-1.0
184.58,16.34,-0.87,-1.0
231.0,17.48,-0.32,-1.0
147.9,29.82,0.61,241.62
456.21,13.71,0.33,1393.78
337.44,1.33,-1.25,-1.0
371.64,36.76,0.05,7166.8
415.67,31.28,-2.81,-1.0
299.38,29.04,-1.46,-1.0
134.77,37.08,-1.34,-1.0
314.84,33.76,-2.26,-1.0
334.74,10.29,-0.56,-1.0
398.18,17.62,-1.97,-1.0
272.66,6.31,0.69,396.45
151.03,6.49,0.76,198.32
213.51,33.81,-0.66,-1.0
245.23,42.93,2.77,88.53
358.37,48.14,-1.72,-1.0
328.31,31.42,0.46,711.57
242.44,9.21,-1.03,-1.0
494.61,5.28,-1.88,-1.0
342.31,40.64,-0.03,-1.0
194.89,28.94,0.36,535.66
140.71,30.91,-2.94,-1.0
161.14,39.07,0.42,387.42
198.38,35.16,1.86,106.55
164.27,41.72,1.15,143.03
174.63,2.81,0.92,189.3
214.04,37.38,-2.72,-1.0
169.35,42.54,-0.77,-1.0
458.71,14.31,-1.97,-1.0
132.09,32.02,1.29,102.03
309.8,15.71,0.72,427.93
264.16,47.9,-0.86,-1.0
492.95,1.67,-2.32,-1.0
144.82,28.99,0.58,251.24
259.14,8.33,-2.07,-1.0
487.79,35.61,-5.0,-1.0
446.2,8.79,-1.82,-1.0
426.83,11.77,-2.01,-1.0
203.16,24.72,-0.96,-1.0
168.36,45.74,-2.11,-1.0
367.46,10.59,-0.73,-1.0
471.75,7.21,-3.12,-1.0
322.71,37.95,-0.39,-1.0
328.65,25.03,1.51,217.7
211.99,45.59,-3.33,-1.0
407.8,7.33,-3.13,-1.0
174.82,32.3,-0.06,-1.0
229.47,11.64,1.89,121.57
270.17,7.84,-3.16,-1.0
303.04,34.17,1.87,161.77
196.96,29.68,0.23,841.21
145.93,37.74,0.4,367.92
344.25,15.47,-1.74,-1.0
215.45,22.4,-0.81,-1.0
332.5,20.27,0.25,1344.92
161.75,49.2,-1.22,-1.0
292.46,14.61,-0.41,-1.0
313.04,14.74,-1.71,-1.0
120.73,17.73,-0.35,-1.0
234.64,28.23,3.53,66.42
153.77,12.62,1.09,140.95
125.35,45.76,1.67,75.22
495.98,13.28,-1.25,-1.0
228.94,44.79,-2.42,-1.0
423.95,5.17,0.39,1090.01
201.86,32.83,-3.78,-1.0
372.6,45.35,-2.88,-1.0
404.09,8.44,-2.73,-1.0
338.26,48.42,-0.51,-1.0
288.63,22.64,-0.56,-1.0
264.74,47.29,-0.9,-1.0
239.55,33.84,-0.41,-1.0
471.81,15.08,-4.19,-1.0
432.25,9.42,-4.57,-1.0
486.01,15.19,-1.77,-1.0
149.72,4.65,1.54,97.01
392.35,7.19,0.45,865.59
475.34,5.23,-3.94,-1.0
172.49,21.15,1.31,131.24
126.6,39.78,0.31,410.43
396.45,7.07,-0.18,-1.0
329.79,6.52,0.24,1403.05
436.73,32.17,-2.05,-1.0
155.91,9.86,-0.07,-1.0
418.11,4.88,-0.74,-1.0
180.65,8.34,1.16,155.22
165.46,46.19,-0.68,-1.0
165.71,41.07,-1.65,-1.0
425.83,17.7,-2.69,-1.0
366.08,32.79,0.61,597.84
309.23,26.86,0.63,492.82
243.53,33.86,-2.1,-1.0
450.88,34.13,-4.26,-1.0
256.98,31.44,1.34,191.45
426.64,13.31,-3.97,-1.0
275.65,1.95,0.01,37233.67
250.78,22.78,-1.43,-1.0
285.07,44.55,1.57,181.02
220.55,28.47,-1.36,-1.0
399.04,41.62,-0.28,-1.0
301.09,49.58,-0.73,-1.0
192.89,8.18,0.45,429.17
459.83,34.59,-5.0,-1.0
253.56,33.71,-3.84,-1.0
317.42,49.0,-1.51,-1.0
462.59,49.28,-2.26,-1.0
349.7,34.33,-3.18,-1.0
146.76,12.18,-1.1,-1.0
475.93,39.93,-1.92,-1.0
351.08,5.35,-0.67,-1.0
233.96,39.03,-0.55,-1.0
155.71,45.51,1.61,96.52
417.61,19.14,-3.94,-1.0
348.03,31.53,-2.01,-1.0
313.38,21.51,1.34,234.22
457.56,21.89,-2.47,-1.0
415.44,15.52,-1.96,-1.0
160.67,38.11,3.85,41.71
224.69,46.81,-2.35,-1.0
199.4,47.04,1.2,166.07
397.58,8.74,0.52,764.29
113.41,43.74,0.38,299.57
327.96,36.87,0.01,33168.93
404.98,12.64,-3.52,-1.0
450.71,3.36,-3.54,-1.0
236.83,13.4,0.21,1132.51
428.5,45.61,-1.09,-1.0
144.25,31.66,2.24,64.43
438.58,36.05,-0.03,-1.0
151.0,12.86,0.39,388.29
258.91,35.97,1.2,215.53
418.92,1.41,-2.7,-1.0
159.97,18.77,1.75,91.23
191.7,31.34,0.39,486.27
388.9,7.3,-1.22,-1.0
388.01,41.15,-1.24,-1.0
356.46,11.75,-3.97,-1.0
377.58,32.61,-3.46,-1.0
317.09,20.26,-1.02,-1.0
200.72,29.8,-2.54,-1.0
238.28,5.37,0.86,275.77
172.64,0.85,1.58,109.2
463.38,45.48,-2.14,-1.0
333.36,13.48,-3.02,-1.0
260.34,40.98,1.47,177.49
284.8,49.97,2.21,129.0
478.91,10.57,-2.57,-1.0
161.34,13.26,1.15,140.0
334.49,33.14,-1.04,-1.0
302.36,48.27,-0.23,-1.0
344.58,45.79,-1.63,-1.0
107.24,25.14,0.88,122.46
448.85,39.76,-1.13,-1.0
472.85,6.79,0.79,598.57
326.05,48.87,-3.36,-1.0
378.66,48.22,-1.94,-1.0
469.0,8.19,-4.46,-1.0
382.9,14.97,0.56,684.86
161.02,5.01,-0.49,-1.0
